event_id,ubid,source_system,source_record_id,event_type,event_date,event_outcome,event_note
EVT-0000720,KA-BLRU-560076-000145,KSPCB,PCB/BLRU/CTO/2018/00064,TAX_FILING,2026-05-04,PENDING,tax return or filing activity signal - PENDING
EVT-0000930,KA-BLRU-560037-000189,FACTORY,KFBIS-FAC-BLRU-2020-000091,INSPECTION,2026-05-04,OK,department inspection or site verification event - OK
EVT-0000246,KA-BLRU-560043-000049,UDYAM,UDYAM-KR-BLRU-2022-000026,COMPLAINT,2026-05-03,RESOLVED,citizen/department complaint signal - RESOLVED
EVT-0000860,KA-BLRU-560024-000173,LABOUR,LAB-KA-BLRU-2017-000083,INSPECTION,2026-05-03,EXPIRED,department inspection or site verification event - EXPIRED
EVT-0000862,KA-BLRU-560024-000173,BBMP,BBMP-TL-YELA-2015-000065,ADDRESS_UPDATE,2026-05-03,EXPIRED,address correction or amendment signal - EXPIRED
EVT-0001556,KA-MYS-570016-000318,GST,GST-KA-MYS-2024-000251,TAX_FILING,2026-05-03,APPROVED,tax return or filing activity signal - APPROVED
EVT-0000127,KA-BLRU-560059-000025,FACTORY,KFBIS-FAC-BLRU-2025-000012,TAX_FILING,2026-05-02,APPROVED,tax return or filing activity signal - APPROVED
EVT-0000132,KA-BLRU-560068-000026,SHOP,KAR-SHOP-BLRU-2022-000018,COMPLAINT,2026-05-02,RESOLVED,citizen/department complaint signal - RESOLVED
EVT-0000694,KA-BLRU-560037-000139,KSPCB,PCB/BLRU/CTO/2020/00061,ADDRESS_UPDATE,2026-05-02,EXPIRED,address correction or amendment signal - EXPIRED
EVT-0000875,KA-BLRU-560102-000176,BBMP,BBMP-TL-BOMM-2024-000067,COMPLAINT,2026-05-02,OPEN,citizen/department complaint signal - OPEN
EVT-0000879,KA-BLRU-560102-000176,UDYAM,UDYAM-KR-BLRU-2018-000084,RENEWAL,2026-05-02,RESOLVED,licence/registration renewal event captured - RESOLVED
EVT-0001038,KA-BLRU-560024-000212,BBMP,BBMP-TL-YELA-2017-000083,COMPLAINT,2026-05-02,NOTICE,citizen/department complaint signal - NOTICE
EVT-0001175,KA-BLRU-560078-000238,GST,GST-KA-BLRU-2021-000186,INSPECTION,2026-05-02,APPROVED,department inspection or site verification event - APPROVED
EVT-0000130,KA-BLRU-560059-000025,BBMP,BBMP-TL-WEST-2020-000009,RENEWAL,2026-05-01,PENDING,licence/registration renewal event captured - PENDING
EVT-0000612,KA-BLRU-560102-000121,GST,GST-KA-BLRU-2020-000090,INSPECTION,2026-05-01,APPROVED,department inspection or site verification event - APPROVED
EVT-0000719,KA-BLRU-560076-000145,LABOUR,LAB-KA-BLRU-2017-000068,INSPECTION,2026-05-01,OK,department inspection or site verification event - OK
EVT-0000900,KA-BLRU-560076-000181,FACTORY,KFBIS-FAC-BLRU-2021-000085,RENEWAL,2026-04-30,PENDING,licence/registration renewal event captured - PENDING
EVT-0000945,KA-BLRU-560059-000192,SHOP,KAR-SHOP-BLRU-2024-000129,COMPLAINT,2026-04-30,OPEN,citizen/department complaint signal - OPEN
EVT-0001058,KA-MYS-570016-000216,BBMP,BBMP-TL-NORT-2024-000084,COMPLAINT,2026-04-30,RESOLVED,citizen/department complaint signal - RESOLVED
EVT-0001380,KA-MYS-570016-000280,GST,GST-KA-MYS-2022-000222,RENEWAL,2026-04-30,EXPIRED,licence/registration renewal event captured - EXPIRED
EVT-0000091,KA-BLRU-560066-000018,SHOP,KAR-SHOP-BLRU-2015-000012,TAX_FILING,2026-04-29,NOTICE,tax return or filing activity signal - NOTICE
EVT-0000469,KA-BLRU-560058-000091,BBMP,BBMP-TL-DASA-2016-000030,RENEWAL,2026-04-29,PENDING,licence/registration renewal event captured - PENDING
