candidate_pair_id,left_source_system,left_record_id,left_business_name,right_source_system,right_record_id,right_business_name,pin_code,match_score,decision,name_score,address_score,identifier_score,phone_score,same_entity_ground_truth,explanation
PAIR-000001,UDYAM,UDYAM-KR-BLRU-2016-000006,NAVEEN FASHIONS TRADERS,GST,GST-KA-BLRU-2019-000008,Naveen Fashions Traders,560076,100,AUTO_LINK,100.0,100,100,100,True,auto-link candidate: high name similarity (100.0); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match; same phone number
PAIR-000002,GST,GST-KA-BLRU-2022-000013,MYSORE MOLD SOLUTIONS,BBMP,BBMP-TL-MAHA-2015-000007,Mysore Mold Solutions,560066,100,AUTO_LINK,100.0,100,100,100,True,auto-link candidate: high name similarity (100.0); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match; same phone number
PAIR-000003,GST,GST-KA-BLRR-2019-000024,OMKAR LLP,LABOUR,LAB-KA-BLRR-2021-000017,Omkar LLP,561203,100,AUTO_LINK,100.0,100,100,100,True,auto-link candidate: high name similarity (100.0); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match; same phone number
PAIR-000004,GST,GST-KA-BLRR-2024-000029,M/S Kaveri Cafe LLP,FACTORY,KFBIS-FAC-BLRR-2025-000018,M/S Kaveri Cafe LLP,562114,100,AUTO_LINK,100.0,100,100,100,True,auto-link candidate: high name similarity (100.0); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match; same phone number
PAIR-000005,UDYAM,UDYAM-KR-TUM-2021-000074,Bangalore Machining Co,GST,GST-KA-TUM-2018-000122,Bangalore Machining Co,572106,100,AUTO_LINK,100.0,100,100,100,True,auto-link candidate: high name similarity (100.0); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match; same phone number
PAIR-000006,GST,GST-KA-MYS-2021-000140,Sree Associates,UDYAM,UDYAM-KR-MYS-2023-000085,M/S Sree Associates,570018,100,AUTO_LINK,100.0,100,100,100,True,auto-link candidate: high name similarity (100.0); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match; same phone number
PAIR-000007,BBMP,BBMP-TL-SOUT-2022-000069,Srinidhi Injection Enterprises,KSPCB,PCB/BLRU/CTE/2018/00082,Srinidhi Injection Enterprises,560076,100,AUTO_LINK,100.0,100,100,100,True,auto-link candidate: high name similarity (100.0); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match; same phone number
PAIR-000008,SHOP,KAR-SHOP-BLRU-2016-000132,Sri Foods Company,GST,GST-KA-BLRU-2022-000150,Sri Foods Company,560100,100,AUTO_LINK,100.0,100,100,100,True,auto-link candidate: high name similarity (100.0); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match; same phone number
PAIR-000009,UDYAM,UDYAM-KR-MYS-2020-000113,M/S Srinidhi Traders,KSPCB,PCB/MYS/CTE/2020/00100,Srinidhi Traders,570016,100,AUTO_LINK,100.0,100,100,100,True,auto-link candidate: high name similarity (100.0); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match; same phone number
PAIR-000010,KSPCB,PCB/MYS/CTE/2020/00100,Srinidhi Traders,GST,GST-KA-MYS-2023-000181,Srinidhi Traders,570016,100,AUTO_LINK,100.0,100,100,100,True,auto-link candidate: high name similarity (100.0); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match; same phone number
