ubid,business_name,district,pin_code,status,linked_departments,progress_identity_verified_pct,progress_department_linkage_pct,risk_score,risk_level,human_review_required
KA-BLRU-560037-000001,Omkar Works,Bengaluru Urban,560037,DORMANT,SHOP,67,18,54,Medium,True
KA-BLRU-560068-000002,Vijaya Associates,Bengaluru Urban,560068,ACTIVE,FACTORY|GST|UDYAM,99,54,17,Low,False
KA-BLRR-561203-000003,Veda Devices Works,Bengaluru Rural,561203,DORMANT,FACTORY|GST|KSPCB,89,54,53,Medium,False
KA-BLRU-560085-000004,Asha Trans LLP,Bengaluru Urban,560085,CLOSED,GST,91,18,69,Medium,False
KA-BLRU-560059-000005,Sharma Coatings Co,Bengaluru Urban,560059,ACTIVE,GST|KSPCB|LABOUR|SHOP|UDYAM,87,90,15,Low,False
KA-MYS-570001-000006,Deccan Industries,Mysuru,570001,ACTIVE,FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,99,100,0,Low,False
KA-BLRU-560102-000007,Sree Logistics Pvt Ltd,Bengaluru Urban,560102,ACTIVE,SHOP,67,18,11,Low,True
KA-BLRU-560100-000008,Siddhi Cafe Industries,Bengaluru Urban,560100,ACTIVE,BBMP|KSPCB|LABOUR|SHOP|UDYAM,99,90,32,Low,False
KA-BLRR-562114-000009,Srinidhi Trans Works,Bengaluru Rural,562114,ACTIVE,GST|KSPCB|SHOP,77,54,4,Low,True
KA-BLRU-560085-000010,Ganesh Dine LLP,Bengaluru Urban,560085,ACTIVE,BBMP|GST|SHOP|UDYAM,99,72,6,Low,False
KA-BLRU-560076-000011,Naveen Fashions Traders,Bengaluru Urban,560076,ACTIVE,FACTORY|GST|LABOUR|SHOP|UDYAM,99,90,23,Low,False
KA-MYS-570001-000012,Naveen Systems Pvt Ltd,Mysuru,570001,DORMANT,FACTORY|KSPCB|UDYAM,99,54,47,Medium,False
KA-MYS-570001-000013,Mysore Bites Works,Mysuru,570001,ACTIVE,BBMP|GST|SHOP,99,54,2,Low,False
KA-BLRU-560100-000014,Siddhi Industrial Industries,Bengaluru Urban,560100,ACTIVE,BBMP|FACTORY|KSPCB|LABOUR|SHOP|UDYAM,99,100,29,Low,False
KA-BLRR-562110-000015,Meghana Warehouse Traders,Bengaluru Rural,562110,DORMANT,BBMP|GST|LABOUR|UDYAM,94,72,38,Medium,False
KA-BLRR-561203-000016,Nandi Trans Solutions,Bengaluru Rural,561203,ACTIVE,GST|LABOUR|SHOP,89,54,9,Low,False
KA-BLRR-562110-000017,Mysore Cafe Traders,Bengaluru Rural,562110,ACTIVE,BBMP|GST|LABOUR,77,54,0,Low,True
KA-BLRU-560066-000018,Mysore Mold Solutions,Bengaluru Urban,560066,ACTIVE,BBMP|FACTORY|GST|KSPCB|SHOP|UDYAM,99,100,4,Low,False
KA-BLRR-562110-000019,Veda Coatings Works,Bengaluru Rural,562110,ACTIVE,FACTORY|GST|KSPCB|SHOP,82,72,4,Low,True
KA-BLRU-560068-000020,Navya Devices Co,Bengaluru Urban,560068,DORMANT,FACTORY|GST|UDYAM,99,54,61,Medium,False
KA-MYS-570016-000021,Prakruthi Packaging Solutions,Mysuru,570016,DORMANT,GST|KSPCB|LABOUR,89,54,62,Medium,False
KA-MYS-570016-000022,Ravi Plastics Works,Mysuru,570016,DORMANT,FACTORY|KSPCB|LABOUR|SHOP,99,72,48,Medium,False
KA-BLRU-560102-000023,Sri Devices Solutions,Bengaluru Urban,560102,ACTIVE,BBMP|FACTORY|GST|LABOUR|SHOP|UDYAM,99,100,24,Low,False
KA-BLRU-560085-000024,Sree Solutions,Bengaluru Urban,560085,ACTIVE,GST|LABOUR|SHOP,89,54,42,Medium,False
KA-BLRU-560059-000025,Harsha Biryani Works,Bengaluru Urban,560059,ACTIVE,BBMP|FACTORY|LABOUR|SHOP,99,72,14,Low,False
KA-BLRU-560068-000026,Bangalore Moulding Associates,Bengaluru Urban,560068,ACTIVE,FACTORY|GST|KSPCB|LABOUR|SHOP|UDYAM,99,100,0,Low,False
