candidate_pair_id,left_source_system,left_record_id,left_business_name,right_source_system,right_record_id,right_business_name,pin_code,match_score,decision,name_score,address_score,identifier_score,phone_score,same_entity_ground_truth,explanation
PAIR-000285,GST,GST-KA-BLRU-2019-000080,M/S Mysore Fashions Enterprises,FACTORY,KFBIS-FAC-BLRU-2023-000053,Mysore Fashions Entp,560064,84,HUMAN_REVIEW,85.1,100,95,0,True,requires human review: high name similarity (85.1); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match
PAIR-000286,KSPCB,PCB/BLRR/CTO/2015/00087,Udupi Electronics LLP,LABOUR,LAB-KA-BLRR-2023-000098,Udupi Electronics LP,562110,84,HUMAN_REVIEW,91.9,93.5,95,0,True,requires human review: high name similarity (91.9); similar address/PIN (93.5); strong hashed PAN/GSTIN/Udyam match
PAIR-000287,GST,GST-KA-BLRU-2016-000176,Sree Toos LLP,LABOUR,LAB-KA-BLRU-2019-000114,Sree Tools LLP,560064|560066,84,HUMAN_REVIEW,94.7,89.3,95,0,True,requires human review: high name similarity (94.7); similar address/PIN (89.3); strong hashed PAN/GSTIN/Udyam match
PAIR-000288,FACTORY,KFBIS-FAC-BLRU-2024-000117,Veda Print Enterprises,KSPCB,PCB/BLRU/CTO/2021/00115,M/S Veda Print Entp,560029,84,HUMAN_REVIEW,81.1,100,100,0,True,requires human review: high name similarity (81.1); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match
PAIR-000289,KSPCB,PCB/BLRU/CTO/2021/00115,M/S Veda Print Entp,UDYAM,UDYAM-KR-BLRU-2015-000128,Veda Print Enterprises,560029,84,HUMAN_REVIEW,81.1,100,100,0,True,requires human review: high name similarity (81.1); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match
PAIR-000290,SHOP,KAR-SHOP-BLRU-2018-000026,M/S Meghana Bites Associates,UDYAM,UDYAM-KR-BLRU-2025-000020,Meghana Bites Associates,560085,83,HUMAN_REVIEW,100.0,100,80,0,True,requires human review: high name similarity (100.0); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match
PAIR-000291,BBMP,BBMP-TL-WEST-2019-000031,Prakruthi Care Industries,SHOP,KAR-SHOP-BLRU-2023-000064,Prakruthi Care Industries,560059,83,HUMAN_REVIEW,100.0,100,80,0,True,requires human review: high name similarity (100.0); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match
PAIR-000292,GST,GST-KA-BLRU-2017-000091,Nisarga Industrial Co,KSPCB,PCB/BLRU/CTE/2022/00054,Nisarga Industrial Co,560024,83,HUMAN_REVIEW,100.0,100,80,0,True,requires human review: high name similarity (100.0); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match
PAIR-000293,UDYAM,UDYAM-KR-BLRU-2016-000069,M/S Udupi Circuits LLP,FACTORY,KFBIS-FAC-BLRU-2018-000073,M/S Udupi Circuits LLP,560043,83,HUMAN_REVIEW,100.0,100,80,0,True,requires human review: high name similarity (100.0); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match
PAIR-000294,LABOUR,LAB-KA-BLRU-2017-000083,Nisarga Trans Enterprises,KSPCB,PCB/BLRU/CTO/2015/00079,M/S Nisarga Trans Entp,560024,83,HUMAN_REVIEW,83.7,97.2,95,0,True,requires human review: high name similarity (83.7); similar address/PIN (97.2); strong hashed PAN/GSTIN/Udyam match
PAIR-000295,KSPCB,PCB/BLRU/CTO/2015/00079,M/S Nisarga Trans Entp,GST,GST-KA-BLRU-2023-000135,Nisarga Trans Enterprises,560024,83,HUMAN_REVIEW,83.7,97.2,95,0,True,requires human review: high name similarity (83.7); similar address/PIN (97.2); strong hashed PAN/GSTIN/Udyam match
PAIR-000296,GST,GST-KA-BLRU-2024-000185,SHARMA PRINT ENTERPRISES,UDYAM,UDYAM-KR-BLRU-2018-000116,Sharma Print Enterprises,560085,83,HUMAN_REVIEW,100.0,100,80,0,True,requires human review: high name similarity (100.0); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match
PAIR-000297,BBMP,BBMP-TL-SOUT-2021-000097,M/S Sree Pharma Pv Ltd,SHOP,KAR-SHOP-BLRU-2023-000166,Sree Pharma Pvt. Ltd.,560068,83,HUMAN_REVIEW,88.0,93.5,95,0,True,requires human review: high name similarity (88.0); similar address/PIN (93.5); strong hashed PAN/GSTIN/Udyam match
PAIR-000298,KSPCB,PCB/BLRU/CTO/2017/00134,Varun Systems Solutions,UDYAM,UDYAM-KR-BLRU-2017-000151,Varun Systems Solutions,560100,83,HUMAN_REVIEW,100.0,100,80,0,True,requires human review: high name similarity (100.0); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match
PAIR-000299,KSPCB,PCB/MYS/CTO/2022/00146,Nisarga Circuits Enterprises,UDYAM,UDYAM-KR-MYS-2024-000163,M/S Nisarga Circuits Enterprises,570018,83,HUMAN_REVIEW,100.0,100,80,0,True,requires human review: high name similarity (100.0); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match
PAIR-000300,UDYAM,UDYAM-KR-BLRU-2018-000004,Siddhi Cafe Inds,KSPCB,PCB/BLRU/CTO/2020/00004,Siddhi Cafe Industries,560100,82,HUMAN_REVIEW,84.2,93.5,95,0,True,requires human review: high name similarity (84.2); similar address/PIN (93.5); strong hashed PAN/GSTIN/Udyam match
PAIR-000301,GST,GST-KA-BLRU-2024-000070,Sharma Biryani Pvt. Ltd.,UDYAM,UDYAM-KR-BLRU-2018-000048,Sharma Biryani Pvt Ltd,560068,82,HUMAN_REVIEW,100.0,95.5,80,0,True,requires human review: high name similarity (100.0); similar address/PIN (95.5); strong hashed PAN/GSTIN/Udyam match
PAIR-000302,UDYAM,UDYAM-KR-BLRU-2022-000058,Prakruthi Electronics Industries,FACTORY,KFBIS-FAC-BLRU-2025-000061,Prakruthi Electonics Industries,560076,82,HUMAN_REVIEW,98.4,97.0,80,0,True,requires human review: high name similarity (98.4); similar address/PIN (97.0); strong hashed PAN/GSTIN/Udyam match
PAIR-000303,UDYAM,UDYAM-KR-BLRU-2017-000093,Meghana Moulding Industries,SHOP,KAR-SHOP-BLRU-2017-000131,Meghana Moulding Indstries,560058,82,HUMAN_REVIEW,98.1,96.7,80,0,True,requires human review: high name similarity (98.1); similar address/PIN (96.7); strong hashed PAN/GSTIN/Udyam match
PAIR-000304,GST,GST-KA-BLRU-2016-000023,M/S Mysore Enterprises,UDYAM,UDYAM-KR-BLRU-2023-000016,MYSORE ENTP,560102,81,HUMAN_REVIEW,75.9,91.6,100,0,True,requires human review: medium name similarity (75.9); similar address/PIN (91.6); strong hashed PAN/GSTIN/Udyam match
PAIR-000305,KSPCB,PCB/BLRU/CTE/2024/00018,Omkar Pvt Ltd,GST,GST-KA-BLRU-2017-000038,Omkar Pvt Ld,560043,81,HUMAN_REVIEW,76.9,100,95,0,True,requires human review: medium name similarity (76.9); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match
PAIR-000306,UDYAM,UDYAM-KR-BLRU-2022-000026,M/S Omkar Pvt Ltd,GST,GST-KA-BLRU-2017-000038,Omkar Pvt Ld,560043,81,HUMAN_REVIEW,76.9,100,95,0,True,requires human review: medium name similarity (76.9); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match
PAIR-000307,UDYAM,UDYAM-KR-BLRU-2024-000104,Lakshmi Electronics LLP,GST,GST-KA-BLRU-2020-000161,Lakshmi Elec LLP,560024,80,HUMAN_REVIEW,77.4,92.1,95,0,True,requires human review: medium name similarity (77.4); similar address/PIN (92.1); strong hashed PAN/GSTIN/Udyam match
PAIR-000308,FACTORY,KFBIS-FAC-BLRU-2015-000017,Mysore Enterprises,UDYAM,UDYAM-KR-BLRU-2023-000016,MYSORE ENTP,560102,79,HUMAN_REVIEW,75.9,91.6,95,0,True,requires human review: medium name similarity (75.9); similar address/PIN (91.6); strong hashed PAN/GSTIN/Udyam match
PAIR-000309,BBMP,BBMP-TL-EAST-2023-000071,Nisarga Enterprises,FACTORY,KFBIS-FAC-BLRU-2016-000089,M/S Nisarga Entp,560001|560064,78,HUMAN_REVIEW,77.4,85.4,95,0,True,requires human review: medium name similarity (77.4); similar address/PIN (85.4); strong hashed PAN/GSTIN/Udyam match
PAIR-000310,UDYAM,UDYAM-KR-BLRU-2024-000072,M/S Mysore Industries,KSPCB,PCB/BLRU/CTE/2018/00069,Mysore Inds,560085,77,HUMAN_REVIEW,78.6,100,80,0,True,requires human review: medium name similarity (78.6); similar address/PIN (100); strong hashed PAN/GSTIN/Udyam match
PAIR-000311,GST,GST-KA-BLRR-2024-000002,VEDA DEVICES WORKS,KSPCB,PCB/BLRR/CTE/2021/00001,Veda Devices Works,561203,74,HUMAN_REVIEW,100.0,100,25,100,True,requires human review: high name similarity (100.0); similar address/PIN (100); same phone number
PAIR-000312,FACTORY,KFBIS-FAC-MYS-2018-000003,Deccan Industries,SHOP,KAR-SHOP-MYS-2024-000003,Deccan Industries,570001,74,HUMAN_REVIEW,100.0,100,25,100,True,requires human review: high name similarity (100.0); similar address/PIN (100); same phone number
PAIR-000313,SHOP,KAR-SHOP-MYS-2024-000003,Deccan Industries,KSPCB,PCB/MYS/CTO/2018/00003,M/S Deccan Industries,570001,74,HUMAN_REVIEW,100.0,100,25,100,True,requires human review: high name similarity (100.0); similar address/PIN (100); same phone number
PAIR-000314,GST,GST-KA-BLRU-2019-000008,Naveen Fashions Traders,SHOP,KAR-SHOP-BLRU-2025-000008,Naveen Fashions Traders,560076,74,HUMAN_REVIEW,100.0,100,25,100,True,requires human review: high name similarity (100.0); similar address/PIN (100); same phone number
PAIR-000315,FACTORY,KFBIS-FAC-BLRU-2023-000004,Naveen Fashions Traders,SHOP,KAR-SHOP-BLRU-2025-000008,Naveen Fashions Traders,560076,74,HUMAN_REVIEW,100.0,100,25,100,True,requires human review: high name similarity (100.0); similar address/PIN (100); same phone number
PAIR-000316,GST,GST-KA-MYS-2024-000009,MYSORE BITES WORKS,SHOP,KAR-SHOP-MYS-2015-000009,Mysore Bites Works,570001,74,HUMAN_REVIEW,100.0,100,25,100,True,requires human review: high name similarity (100.0); similar address/PIN (100); same phone number
PAIR-000317,GST,GST-KA-MYS-2023-000032,ADITYA CIRCUITS WORKS,SHOP,KAR-SHOP-MYS-2025-000029,M/S Aditya Circuits Works,570016,74,HUMAN_REVIEW,100.0,100,25,100,True,requires human review: high name similarity (100.0); similar address/PIN (100); same phone number
PAIR-000318,UDYAM,UDYAM-KR-MYS-2017-000023,Aarohi Solutions,BBMP,BBMP-TL-NORT-2020-000014,Aarohi Solutions,570016,74,HUMAN_REVIEW,100.0,100,25,100,True,requires human review: high name similarity (100.0); similar address/PIN (100); same phone number
PAIR-000319,LABOUR,LAB-KA-BLRU-2022-000023,Nandi Solvents LLP,KSPCB,PCB/BLRU/CTE/2016/00017,Nandi Solvents LLP,560100,74,HUMAN_REVIEW,100.0,100,25,100,True,requires human review: high name similarity (100.0); similar address/PIN (100); same phone number
PAIR-000320,KSPCB,PCB/BLRU/CTE/2016/00017,Nandi Solvents LLP,GST,GST-KA-BLRU-2024-000037,Nandi Solvents LLP,560100,74,HUMAN_REVIEW,100.0,99.3,25,100,True,requires human review: high name similarity (100.0); similar address/PIN (99.3); same phone number
PAIR-000321,GST,GST-KA-BLRU-2024-000037,Nandi Solvents LLP,FACTORY,KFBIS-FAC-BLRU-2024-000021,Nandi Solvents LLP,560100,74,HUMAN_REVIEW,100.0,100,25,100,True,requires human review: high name similarity (100.0); similar address/PIN (100); same phone number
PAIR-000322,LABOUR,LAB-KA-BLRU-2024-000024,Omkar Pvt Ltd,FACTORY,KFBIS-FAC-BLRU-2016-000022,M/S Omkar Pvt Ltd,560043,74,HUMAN_REVIEW,100.0,100,25,100,True,requires human review: high name similarity (100.0); similar address/PIN (100); same phone number
PAIR-000323,UDYAM,UDYAM-KR-BLRU-2021-000031,SRINIDHI MILLING TRADERS,SHOP,KAR-SHOP-BLRU-2022-000039,Srinidhi Milling Traders,560037,74,HUMAN_REVIEW,100.0,100,25,100,True,requires human review: high name similarity (100.0); similar address/PIN (100); same phone number
PAIR-000324,UDYAM,UDYAM-KR-BLRU-2018-000033,Siddhi Systems LLP,LABOUR,LAB-KA-BLRU-2021-000029,Siddhi Systems LLP,560043,74,HUMAN_REVIEW,100.0,100,25,100,True,requires human review: high name similarity (100.0); similar address/PIN (100); same phone number
PAIR-000325,BBMP,BBMP-TL-BENG-2016-000019,Veda Stitch LLP,KSPCB,PCB/BLRR/CTE/2019/00024,M/S Veda Stitch LLP,562114,74,HUMAN_REVIEW,100.0,100,25,100,True,requires human review: high name similarity (100.0); similar address/PIN (100); same phone number
PAIR-000326,BBMP,BBMP-TL-BENG-2016-000019,Veda Stitch LLP,GST,GST-KA-BLRR-2025-000048,Veda Stitch LLP,562114,74,HUMAN_REVIEW,100.0,100,25,100,True,requires human review: high name similarity (100.0); similar address/PIN (100); same phone number
