source_record_id,source_system,business_name_raw,business_name_normalized,address_raw,address_normalized,district,pin_code,business_type,business_category,pan_hash_present,gstin_hash_present,phone_present,blocking_key_pin_category,blocking_key_pin_name4,status,last_event_date,entity_id_ground_truth
KAR-SHOP-BLRU-2016-000001,SHOP,Omkar Works,OMKAR WORKS,"#16, C Extension, Whitefield, Bengaluru Urban, K'taka - 560037",16 C EXTENSION WHITEFIELD BANGALORE URBAN K TAKA 560037,Bengaluru Urban,560037,Restaurant / Cafe,Service,False,False,True,560037::Service,560037::OMKA,DORMANT,2024-11-10,ENT-00001
KFBIS-FAC-BLRU-2025-000001,FACTORY,Vijaya Associates,VIJAYA ASSOCIATES,"91, B 3rd Phase, Bommanahalli, Bengaluru Urban, Karnataka",91 B 3RD PHASE BOMMANAHALLI BANGALORE URBAN KARNATAKA,Bengaluru Urban,560068,Plastic Moulding,Manufacturing,False,False,True,560068::Manufacturing,560068::VIJA,ACTIVE,2025-11-05,ENT-00002
GST-KA-BLRU-2015-000001,GST,Vijaya Associates,VIJAYA ASSOCIATES,"91, B 3rd Phase, Bommanahalli, Bengaluru Urban, KA - 560068",91 B 3RD PHASE BOMMANAHALLI BANGALORE URBAN KA 560068,Bengaluru Urban,560068,Plastic Moulding,Manufacturing,True,True,False,560068::Manufacturing,560068::VIJA,CLOSED,2018-05-23,ENT-00002
UDYAM-KR-BLRU-2017-000001,UDYAM,M/S Vijaya Associates,VIJAYA ASSOCIATES,"91, B 3rd Phase, Bommanahalli, Bangalore Urban, KA - 560068",91 B 3RD PHASE BOMMANAHALLI BANGALORE URBAN KA 560068,Bengaluru Urban,560068,Plastic Moulding,Manufacturing,True,False,True,560068::Manufacturing,560068::VIJA,CLOSED,2020-01-26,ENT-00002
KFBIS-FAC-BLRR-2020-000002,FACTORY,Veda Devices Works,VEDA DEVICES WORKS,"264, B 1st Cr, Doddaballapura, Bangalore Rural, K'taka - 561203",264 B 1ST CR DODDABALLAPURA BANGALORE RURAL K TAKA 561203,Bengaluru Rural,561203,Electronics Assembly,Manufacturing,False,False,False,561203::Manufacturing,561203::VEDA,DORMANT,2024-11-14,ENT-00003
GST-KA-BLRR-2024-000002,GST,VEDA DEVICES WORKS,VEDA DEVICES WORKS,"No 264, B 1st Crs, Doddaballapura, B'luru Rural, K'taka - 561203",NO 264 B 1ST CRS DODDABALLAPURA B LURU RURAL K TAKA 561203,Bengaluru Rural,561203,Electronics Assembly,Manufacturing,True,False,True,561203::Manufacturing,561203::VEDA,DORMANT,2025-02-17,ENT-00003
PCB/BLRR/CTE/2021/00001,KSPCB,Veda Devices Works,VEDA DEVICES WORKS,"No 264, B 1st Cross, Doddaballapura, B'luru Rural, Karnataka - 561203",NO 264 B 1ST CRS DODDABALLAPURA B LURU RURAL KARNATAKA 561203,Bengaluru Rural,561203,Electronics Assembly,Manufacturing,False,False,True,561203::Manufacturing,561203::VEDA,CLOSED,2022-09-22,ENT-00003
GST-KA-BLRU-2021-000003,GST,Asha Trans LLP,ASHA TRANS,"No 7, B 1st Crs, Banashankari, Bengaluru Urban, KA - 560085",NO 7 B 1ST CRS BANASHANKARI BANGALORE URBAN KA 560085,Bengaluru Urban,560085,Logistics / Warehouse,Service,True,True,False,560085::Service,560085::ASHA,CLOSED,2021-11-19,ENT-00004
GST-KA-BLRU-2022-000004,GST,Sharma Coatings Co,SHARMA COATINGS,"7, Plot Service Road, Rajajinagar Industrial Suburb, Bengaluru Urban, Karnataka - 560059",7 PLOT SERVICE RD RAJAJINAGAR IND SUBURB BANGALORE URBAN KARNATAKA 560059,Bengaluru Urban,560059,Chemical Blending,Manufacturing,False,False,True,560059::Manufacturing,560059::SHAR,ACTIVE,2025-07-09,ENT-00005
PCB/BLRU/CTO/2017/00002,KSPCB,Sharma Coatings Co,SHARMA COATINGS,"No. 7, Plot Service Road, Rajajinagar Industrial Suburb, B'luru Urban, Karnataka - 560059",NO 7 PLOT SERVICE RD RAJAJINAGAR IND SUBURB B LURU URBAN KARNATAKA 560059,Bengaluru Urban,560059,Chemical Blending,Manufacturing,False,False,False,560059::Manufacturing,560059::SHAR,CLOSED,2025-10-13,ENT-00005
