ubid,business_name,risk_score,risk_level,activity_status,last_activity_date,linked_departments,risk_reasons
KA-BLRU-560059-000027,Sree Electronics Industries,100,High,CLOSED,2022-06-29,FACTORY|GST,No compliance activity for more than 36 months | Manufacturing business has no linked KSPCB consent record | 3 unresolved/notice complaint signals | Closed/deregistered or long-inactive status
KA-BLRU-560068-000040,Varun Textiles Industries,100,High,CLOSED,2022-09-19,BBMP|GST|LABOUR|SHOP,No compliance activity for more than 36 months | Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record | Closed/deregistered or long-inactive status
KA-MYS-570001-000107,Harsha Industries,100,High,DORMANT,2023-10-14,LABOUR|SHOP|UDYAM,No compliance activity for more than 18 months | Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record | No linked GST registry signal | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-TUM-572106-000117,Mysore Printers Company,100,High,CLOSED,2022-09-03,FACTORY,No compliance activity for more than 36 months | Manufacturing business has no linked KSPCB consent record | No linked GST registry signal | 2 unresolved/notice complaint signals | Closed/deregistered or long-inactive status
KA-BLRU-560064-000161,Bangalore Apparels Enterprises,100,High,CLOSED,2022-06-25,BBMP|GST|SHOP|UDYAM,No compliance activity for more than 36 months | Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record | 1 unresolved/notice complaint signals | Closed/deregistered or long-inactive status
KA-BLRR-561203-000187,Varun Industries Industries,100,High,DORMANT,2022-09-18,LABOUR|SHOP,No compliance activity for more than 36 months | Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record | No linked GST registry signal | Dormant status inferred from event stream
KA-BLRU-560085-000209,Ananya Circuits Enterprises,100,High,DORMANT,2023-12-17,LABOUR|SHOP|UDYAM,No compliance activity for more than 18 months | Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record | No linked GST registry signal | 2 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560024-000220,Ananya Associates,100,High,DORMANT,2024-08-11,BBMP|GST,No compliance activity for more than 18 months | Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record | 3 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRR-562114-000265,Sharma Textiles Pvt Ltd,100,High,CLOSED,2022-12-19,BBMP|LABOUR,No compliance activity for more than 36 months | Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record | No linked GST registry signal | 1 unresolved/notice complaint signals | Closed/deregistered or long-inactive status
KA-MYS-570018-000085,Mysore Works,97,High,CLOSED,2022-02-25,FACTORY|GST|SHOP|UDYAM,No compliance activity for more than 36 months | Manufacturing business has no linked KSPCB consent record | 1 unresolved/notice complaint signals | Closed/deregistered or long-inactive status
KA-BLRU-560076-000072,Siddhi Bakery LLP,95,High,CLOSED,2021-03-17,FACTORY|GST,No compliance activity for more than 36 months | Manufacturing business has no linked KSPCB consent record | Closed/deregistered or long-inactive status
KA-BLRR-561203-000191,Siddhi Warehouse Industries,92,High,CLOSED,2020-11-23,BBMP|LABOUR,No compliance activity for more than 36 months | No linked GST registry signal | 2 unresolved/notice complaint signals | Closed/deregistered or long-inactive status
KA-BLRU-560064-000301,Vijaya Fashions Pvt Ltd,91,High,DORMANT,2024-05-30,BBMP|GST|LABOUR|SHOP,No compliance activity for more than 18 months | Manufacturing business has no linked KSPCB consent record | Manufacturing business has no linked Factories Act record | 1 unresolved/notice complaint signals | Dormant status inferred from event stream
KA-BLRU-560058-000062,Veda Pharma Associates,90,High,CLOSED,2022-08-09,BBMP|UDYAM,No compliance activity for more than 36 months | No linked GST registry signal | 1 unresolved/notice complaint signals | Closed/deregistered or long-inactive status
KA-BLRU-560102-000066,Sree Dine Co,90,High,CLOSED,2021-08-07,BBMP|LABOUR|SHOP,No compliance activity for more than 36 months | No linked GST registry signal | 1 unresolved/notice complaint signals | Closed/deregistered or long-inactive status
