ubid,source_system,source_record_id,link_type,link_confidence,linked_at,entity_id_ground_truth
KA-BLRU-560037-000001,SHOP,KAR-SHOP-BLRU-2016-000001,HUMAN_APPROVED,67,2026-04-28,ENT-00001
KA-BLRU-560068-000002,FACTORY,KFBIS-FAC-BLRU-2025-000001,AUTO_LINK,99,2026-05-01,ENT-00002
KA-BLRU-560068-000002,GST,GST-KA-BLRU-2015-000001,AUTO_LINK,99,2026-05-03,ENT-00002
KA-BLRU-560068-000002,UDYAM,UDYAM-KR-BLRU-2017-000001,AUTO_LINK,99,2026-04-28,ENT-00002
KA-BLRR-561203-000003,FACTORY,KFBIS-FAC-BLRR-2020-000002,AUTO_LINK,89,2026-03-21,ENT-00003
KA-BLRR-561203-000003,GST,GST-KA-BLRR-2024-000002,AUTO_LINK,89,2026-05-03,ENT-00003
KA-BLRR-561203-000003,KSPCB,PCB/BLRR/CTE/2021/00001,AUTO_LINK,89,2026-04-18,ENT-00003
KA-BLRU-560085-000004,GST,GST-KA-BLRU-2021-000003,AUTO_LINK,91,2026-05-04,ENT-00004
KA-BLRU-560059-000005,GST,GST-KA-BLRU-2022-000004,AUTO_LINK,87,2026-04-21,ENT-00005
KA-BLRU-560059-000005,KSPCB,PCB/BLRU/CTO/2017/00002,AUTO_LINK,87,2026-04-19,ENT-00005
KA-BLRU-560059-000005,LABOUR,LAB-KA-BLRU-2025-000001,AUTO_LINK,87,2026-04-27,ENT-00005
KA-BLRU-560059-000005,SHOP,KAR-SHOP-BLRU-2016-000002,AUTO_LINK,87,2026-04-27,ENT-00005
KA-BLRU-560059-000005,UDYAM,UDYAM-KR-BLRU-2024-000002,AUTO_LINK,87,2026-04-22,ENT-00005
KA-MYS-570001-000006,FACTORY,KFBIS-FAC-MYS-2018-000003,AUTO_LINK,99,2026-04-27,ENT-00006
KA-MYS-570001-000006,GST,GST-KA-MYS-2024-000005,AUTO_LINK,99,2026-04-21,ENT-00006
KA-MYS-570001-000006,KSPCB,PCB/MYS/CTO/2018/00003,AUTO_LINK,99,2026-04-12,ENT-00006
KA-MYS-570001-000006,LABOUR,LAB-KA-MYS-2016-000002,AUTO_LINK,99,2026-03-31,ENT-00006
KA-MYS-570001-000006,SHOP,KAR-SHOP-MYS-2024-000003,AUTO_LINK,99,2026-04-18,ENT-00006
KA-MYS-570001-000006,UDYAM,UDYAM-KR-MYS-2023-000003,AUTO_LINK,99,2026-04-05,ENT-00006
KA-BLRU-560102-000007,SHOP,KAR-SHOP-BLRU-2022-000004,HUMAN_APPROVED,67,2026-05-02,ENT-00007
KA-BLRU-560100-000008,BBMP,BBMP-TL-BOMM-2015-000001,AUTO_LINK,99,2026-04-30,ENT-00008
KA-BLRU-560100-000008,KSPCB,PCB/BLRU/CTO/2020/00004,AUTO_LINK,99,2026-04-10,ENT-00008
KA-BLRU-560100-000008,LABOUR,LAB-KA-BLRU-2016-000003,AUTO_LINK,99,2026-04-27,ENT-00008
KA-BLRU-560100-000008,SHOP,KAR-SHOP-BLRU-2024-000005,AUTO_LINK,99,2026-04-26,ENT-00008
KA-BLRU-560100-000008,UDYAM,UDYAM-KR-BLRU-2018-000004,AUTO_LINK,99,2026-04-02,ENT-00008
KA-BLRR-562114-000009,GST,GST-KA-BLRR-2025-000006,HUMAN_APPROVED,77,2026-04-25,ENT-00009
KA-BLRR-562114-000009,KSPCB,PCB/BLRR/CTE/2019/00005,HUMAN_APPROVED,77,2026-04-07,ENT-00009
KA-BLRR-562114-000009,SHOP,KAR-SHOP-BLRR-2021-000006,HUMAN_APPROVED,77,2026-04-18,ENT-00009
KA-BLRU-560085-000010,BBMP,BBMP-TL-SOUT-2016-000002,AUTO_LINK,99,2026-03-24,ENT-00010
KA-BLRU-560085-000010,GST,GST-KA-BLRU-2025-000007,AUTO_LINK,99,2026-04-05,ENT-00010
KA-BLRU-560085-000010,SHOP,KAR-SHOP-BLRU-2022-000007,AUTO_LINK,99,2026-04-03,ENT-00010
KA-BLRU-560085-000010,UDYAM,UDYAM-KR-BLRU-2015-000005,AUTO_LINK,99,2026-04-12,ENT-00010
KA-BLRU-560076-000011,FACTORY,KFBIS-FAC-BLRU-2023-000004,AUTO_LINK,99,2026-05-04,ENT-00011
KA-BLRU-560076-000011,GST,GST-KA-BLRU-2019-000008,AUTO_LINK,99,2026-04-09,ENT-00011
KA-BLRU-560076-000011,LABOUR,LAB-KA-BLRU-2020-000004,AUTO_LINK,99,2026-04-13,ENT-00011
KA-BLRU-560076-000011,SHOP,KAR-SHOP-BLRU-2025-000008,AUTO_LINK,99,2026-03-25,ENT-00011
KA-BLRU-560076-000011,UDYAM,UDYAM-KR-BLRU-2016-000006,AUTO_LINK,99,2026-04-28,ENT-00011
KA-MYS-570001-000012,FACTORY,KFBIS-FAC-MYS-2019-000005,AUTO_LINK,99,2026-03-30,ENT-00012
KA-MYS-570001-000012,KSPCB,PCB/MYS/CTO/2023/00006,AUTO_LINK,99,2026-04-20,ENT-00012
KA-MYS-570001-000012,UDYAM,UDYAM-KR-MYS-2020-000007,AUTO_LINK,99,2026-04-15,ENT-00012
KA-MYS-570001-000013,BBMP,BBMP-TL-CENT-2021-000003,AUTO_LINK,99,2026-03-23,ENT-00013
KA-MYS-570001-000013,GST,GST-KA-MYS-2024-000009,AUTO_LINK,99,2026-05-03,ENT-00013
KA-MYS-570001-000013,SHOP,KAR-SHOP-MYS-2015-000009,AUTO_LINK,99,2026-04-23,ENT-00013
KA-BLRU-560100-000014,BBMP,BBMP-TL-BOMM-2021-000004,AUTO_LINK,99,2026-04-25,ENT-00014
KA-BLRU-560100-000014,FACTORY,KFBIS-FAC-BLRU-2019-000006,AUTO_LINK,99,2026-04-27,ENT-00014
KA-BLRU-560100-000014,KSPCB,PCB/BLRU/CTE/2018/00007,AUTO_LINK,99,2026-04-15,ENT-00014
KA-BLRU-560100-000014,LABOUR,LAB-KA-BLRU-2025-000005,AUTO_LINK,99,2026-04-21,ENT-00014
KA-BLRU-560100-000014,SHOP,KAR-SHOP-BLRU-2017-000010,AUTO_LINK,99,2026-04-08,ENT-00014
KA-BLRU-560100-000014,UDYAM,UDYAM-KR-BLRU-2016-000008,AUTO_LINK,99,2026-03-28,ENT-00014
KA-BLRR-562110-000015,BBMP,BBMP-TL-BENG-2020-000005,AUTO_LINK,94,2026-04-30,ENT-00015
KA-BLRR-562110-000015,GST,GST-KA-BLRR-2023-000010,AUTO_LINK,94,2026-04-23,ENT-00015
KA-BLRR-562110-000015,LABOUR,LAB-KA-BLRR-2022-000006,AUTO_LINK,94,2026-04-24,ENT-00015
KA-BLRR-562110-000015,UDYAM,UDYAM-KR-BLRR-2023-000009,AUTO_LINK,94,2026-03-20,ENT-00015
KA-BLRR-561203-000016,GST,GST-KA-BLRR-2017-000011,AUTO_LINK,89,2026-04-05,ENT-00016
KA-BLRR-561203-000016,LABOUR,LAB-KA-BLRR-2018-000007,AUTO_LINK,89,2026-04-22,ENT-00016
KA-BLRR-561203-000016,SHOP,KAR-SHOP-BLRR-2016-000011,AUTO_LINK,89,2026-03-21,ENT-00016
KA-BLRR-562110-000017,BBMP,BBMP-TL-BENG-2020-000006,HUMAN_APPROVED,77,2026-04-19,ENT-00017
KA-BLRR-562110-000017,GST,GST-KA-BLRR-2017-000012,HUMAN_APPROVED,77,2026-03-26,ENT-00017
KA-BLRR-562110-000017,LABOUR,LAB-KA-BLRR-2019-000008,HUMAN_APPROVED,77,2026-03-23,ENT-00017
KA-BLRU-560066-000018,BBMP,BBMP-TL-MAHA-2015-000007,AUTO_LINK,99,2026-03-30,ENT-00018
KA-BLRU-560066-000018,FACTORY,KFBIS-FAC-BLRU-2024-000007,AUTO_LINK,99,2026-03-21,ENT-00018
KA-BLRU-560066-000018,GST,GST-KA-BLRU-2022-000013,AUTO_LINK,99,2026-04-21,ENT-00018
KA-BLRU-560066-000018,KSPCB,PCB/BLRU/CTO/2015/00008,AUTO_LINK,99,2026-04-14,ENT-00018
KA-BLRU-560066-000018,SHOP,KAR-SHOP-BLRU-2015-000012,AUTO_LINK,99,2026-04-27,ENT-00018
KA-BLRU-560066-000018,UDYAM,UDYAM-KR-BLRU-2018-000010,AUTO_LINK,99,2026-04-01,ENT-00018
KA-BLRR-562110-000019,FACTORY,KFBIS-FAC-BLRR-2016-000008,HUMAN_APPROVED,82,2026-04-11,ENT-00019
KA-BLRR-562110-000019,GST,GST-KA-BLRR-2017-000014,HUMAN_APPROVED,82,2026-04-30,ENT-00019
KA-BLRR-562110-000019,KSPCB,PCB/BLRR/CTE/2018/00009,HUMAN_APPROVED,82,2026-03-23,ENT-00019
KA-BLRR-562110-000019,SHOP,KAR-SHOP-BLRR-2016-000013,HUMAN_APPROVED,82,2026-04-06,ENT-00019
KA-BLRU-560068-000020,FACTORY,KFBIS-FAC-BLRU-2019-000009,AUTO_LINK,99,2026-05-01,ENT-00020
KA-BLRU-560068-000020,GST,GST-KA-BLRU-2021-000015,AUTO_LINK,99,2026-04-30,ENT-00020
KA-BLRU-560068-000020,UDYAM,UDYAM-KR-BLRU-2016-000011,AUTO_LINK,99,2026-05-02,ENT-00020
KA-MYS-570016-000021,GST,GST-KA-MYS-2022-000016,AUTO_LINK,89,2026-03-29,ENT-00021
KA-MYS-570016-000021,KSPCB,PCB/MYS/CTO/2016/00010,AUTO_LINK,89,2026-04-09,ENT-00021
KA-MYS-570016-000021,LABOUR,LAB-KA-MYS-2015-000009,AUTO_LINK,89,2026-03-25,ENT-00021
KA-MYS-570016-000022,FACTORY,KFBIS-FAC-MYS-2023-000010,AUTO_LINK,99,2026-04-04,ENT-00022
