trade_license_no,business_name,trade_type,address,ward,zone,pin_code,application_status,valid_from,valid_to,phone,gstin_hash,source_record_id,entity_id_ground_truth
BBMP-TL-BOMM-2015-000001,Siddhi Cafe Industries,Restaurant / Cafe,"181, A Near Bus Stop, Electronic City, Bangalore Urban, KA - 560100",Ward-192,Bommanahalli,560100,Renewal Due,2015-05-11,2027-03-15,9000063489,,BBMP-TL-BOMM-2015-000001,ENT-00008
BBMP-TL-SOUT-2016-000002,M/S Ganesh Dine LLP,Restaurant / Cafe,"No. 149, B Mn Rd, Banashankari, B'luru Urban, KA - 560085",Ward-182,South,560085,Approved,2016-06-25,2026-11-02,,,BBMP-TL-SOUT-2016-000002,ENT-00010
BBMP-TL-CENT-2021-000003,Mysore Bies Works,Restaurant / Cafe,"4, D 2nd Main, Devaraja Mohalla, Mysuru, KA - 570001",Ward-M01,Central,570001,Expired,2021-02-07,2027-06-19,,GSTIN_66B07237543C6EDC,BBMP-TL-CENT-2021-000003,ENT-00013
BBMP-TL-BOMM-2021-000004,Siddhi Industrial Inds,Chemical Blending,"No 243, B Extension, Electronic City, Bengaluru Urban, Karnataka - 560100",Ward-192,Bommanahalli,560100,Renewal Due,2021-01-12,2026-09-16,,GSTIN_4CBBAC49634564E0,BBMP-TL-BOMM-2021-000004,ENT-00014
BBMP-TL-BENG-2020-000005,Meghana Warehouse Traders,Logistics / Warehouse,"#57, D Near Bus Stop, Devanahalli, Bangalore Rural, Karnataka - 562110",Ward-R01,Bengaluru Rural,562110,Expired,2020-11-08,2026-11-17,,,BBMP-TL-BENG-2020-000005,ENT-00015
BBMP-TL-BENG-2020-000006,Mysore Cafe Traders,Restaurant / Cafe,"No 202, D Service Road, Devanahalli, Bangalore Rural, Karnataka - 562110",Ward-R01,Bengaluru Rural,562110,Approved,2020-05-14,2026-01-21,,,BBMP-TL-BENG-2020-000006,ENT-00017
BBMP-TL-MAHA-2015-000007,Mysore Mold Solutions,Plastic Moulding,"215, A Mn Rd, Whitefield Mn Rd, Bangalore Urban, K'taka - 560066",Ward-083,Mahadevapura,560066,Expired,2015-03-21,2024-10-24,9000142679,GSTIN_3EF37A7E82305EDA,BBMP-TL-MAHA-2015-000007,ENT-00018
BBMP-TL-BOMM-2019-000008,Sri Devices Slutions,Electronics Assembly,"#104, Shed Industrial Layout, HSR Layout, Bangalore Urban, Karnataka - 560102",Ward-174,Bommanahalli,560102,Approved,2019-09-01,2026-01-23,,,BBMP-TL-BOMM-2019-000008,ENT-00023
BBMP-TL-WEST-2020-000009,Harsha Biryani Works,Restaurant / Cafe,"No. 136, C 1st Cr, Rajajinagar Industrial Suburb, B'luru Urban, K'taka - 560059",Ward-067,West,560024,Approved,2020-06-03,2024-09-26,,GSTIN_B41F10842E700D44,BBMP-TL-WEST-2020-000009,ENT-00025
BBMP-TL-NORT-2025-000010,Bangalore Solutions,Pharmacy / Medical Retail,"108, B Near Bus Stop, Hebbal Industrial Area, Mysuru, Karnataka - 570016",Ward-M21,North,570016,Pending Inspection,2025-03-22,2027-08-04,,,BBMP-TL-NORT-2025-000010,ENT-00028
BBMP-TL-SOUT-2016-000011,M/S Varun Textiles Industries,Textile / Garments,"252, B Near Bus Stop, Bommanahalli, Bengaluru Urban, K'taka - 560068",Ward-175,South,560043,Pending Inspection,2016-08-28,2026-08-03,,,BBMP-TL-SOUT-2016-000011,ENT-00040
BBMP-TL-SOUT-2019-000012,Meghana Bites Associates,Pharmacy / Medical Retail,"No. 283, A 1st Crs, Banashankari, Bangalore Urban, KA - 560085",Ward-182,South,560085,Approved,2019-10-21,2028-04-09,,GSTIN_8F3229B92705BAAF,BBMP-TL-SOUT-2019-000012,ENT-00041
