factory_license_no,factory_name,occupier_name_masked,factory_address,district,pin_code,industry_type,nic_code,workers_count,registration_year,last_inspection_date,status,pan_hash,gstin_hash,source_record_id,entity_id_ground_truth
KFBIS-FAC-BLRU-2025-000001,Vijaya Associates,Owner A,"91, B 3rd Phase, Bommanahalli, Bengaluru Urban, Karnataka",Bengaluru Urban,560068,Plastic Moulding,2220,25,2025,2025-11-05,ACTIVE,,,KFBIS-FAC-BLRU-2025-000001,ENT-00002
KFBIS-FAC-BLRR-2020-000002,Veda Devices Works,Owner A,"264, B 1st Cr, Doddaballapura, Bangalore Rural, K'taka - 561203",Bengaluru Rural,561203,Electronics Assembly,2610,,2020,2024-11-14,DORMANT,,,KFBIS-FAC-BLRR-2020-000002,ENT-00003
KFBIS-FAC-MYS-2018-000003,Deccan Industries,Owner B,"#151, C 2nd Main, Devaraja Mohalla, Mysuru, Karnataka - 570001",Mysuru,570001,Plastic Moulding,2220,120,2018,2025-08-16,ACTIVE,,,KFBIS-FAC-MYS-2018-000003,ENT-00006
KFBIS-FAC-BLRU-2023-000004,Naveen Fashions Traders,Director Masked,"#34, B Main Rd, Bannerghatta Road, B'luru Urban, K'taka - 560076",Bengaluru Urban,560076,Textile / Garments,1410,180,2023,2025-07-23,ACTIVE,PAN_8C7374FD50D77AA2,GSTIN_4EC2C607A831562B,KFBIS-FAC-BLRU-2023-000004,ENT-00011
KFBIS-FAC-MYS-2019-000005,Naveen Systems Pvt Ltd,Director Masked,"No. 291, D Sector, Devaraja Mohalla, Mysuru, KA - 570001",Mysuru,570001,Electronics Assembly,2610,18,2019,2021-05-06,CLOSED,,GSTIN_F4E00424CB03A26C,KFBIS-FAC-MYS-2019-000005,ENT-00012
KFBIS-FAC-BLRU-2019-000006,Siddhi Industrial Industries,Owner B,"No. 243, B Extension, Electronic City, Bengaluru Urban, K'taka - 560100",Bengaluru Urban,560100,Chemical Blending,2029,2,2019,2019-12-14,CLOSED,PAN_58C0287F2DFBF4D1,,KFBIS-FAC-BLRU-2019-000006,ENT-00014
KFBIS-FAC-BLRU-2024-000007,Mysore Mold Solutions,Partner 1,"#215, A Main Rd, Whitefield Main Rd, B'luru Urban, Karnataka - 560066",Bengaluru Urban,560066,Plastic Moulding,2220,180,2024,2025-10-13,ACTIVE,PAN_9B87F77784FF0445,GSTIN_3EF37A7E82305EDA,KFBIS-FAC-BLRU-2024-000007,ENT-00018
KFBIS-FAC-BLRR-2016-000008,Vea Coatings Works,Owner B,"201, B Service Road, Devanahalli, B'luru Rural, K'taka - 562110",Bengaluru Rural,562110,Chemical Blending,2029,3,2016,2017-03-08,CLOSED,,,KFBIS-FAC-BLRR-2016-000008,ENT-00019
KFBIS-FAC-BLRU-2019-000009,Navya Devices Co,Owner A,"#51, A Behind Metro, Bommanahalli, B'luru Urban, KA - 560068",Bengaluru Urban,560068,Electronics Assembly,2610,,2019,2020-02-09,CLOSED,,,KFBIS-FAC-BLRU-2019-000009,ENT-00020
KFBIS-FAC-MYS-2023-000010,Ravi Plastics Works,,"65, B Near Bus Stop, Hebbal Industrial Area, Mysuru, KA - 570016",Mysuru,570016,Plastic Moulding,2220,18,2023,2025-03-07,DORMANT,,GSTIN_4CD6D2E925B25B01,KFBIS-FAC-MYS-2023-000010,ENT-00022
