entity_id,legal_name,trade_name,business_type,business_category,nic_code,pollution_category,district,district_code,pin_code,locality,zone,ward,canonical_address,pan_hash,gstin_hash,udyam_hash,phone,email,incorporation_date,employee_count,turnover_band_lakh
ENT-00001,Omkar Works,Omkar Works,Restaurant / Cafe,Service,5610,Green,Bengaluru Urban,BLRU,560037,Whitefield,Mahadevapura,Ward-085,"No 16, C Extension, Whitefield, Bengaluru Urban, Karnataka - 560037",,,UDYAM_6668ADAC3B7459D8,9000008056,,2016-01-16,85,100-500
ENT-00002,Vijaya Associates,Vijaya Associates,Plastic Moulding,Manufacturing,2220,Red,Bengaluru Urban,BLRU,560068,Bommanahalli,South,Ward-175,"No 91, B 3rd Phase, Bommanahalli, Bengaluru Urban, Karnataka - 560068",PAN_58171EF01BC0381A,GSTIN_09A864EEFB4966DC,,9000015975,contact0002@examplebiz.in,2015-05-13,25,0-10
ENT-00003,Veda Devices Works,Veda Devices Works,Electronics Assembly,Manufacturing,2610,Orange,Bengaluru Rural,BLRR,561203,Doddaballapura,Bengaluru Rural,Ward-R09,"No 264, B 1st Cross, Doddaballapura, Bengaluru Rural, Karnataka - 561203",PAN_71DBDD827C3DEB42,,UDYAM_3B029F27F98B79B0,9000023894,contact0003@examplebiz.in,2015-12-17,8,10-25
ENT-00004,Asha Trans LLP,Asha Trans,Logistics / Warehouse,Service,5210,Green,Bengaluru Urban,BLRU,560085,Banashankari,South,Ward-182,"No 7, B 1st Cross, Banashankari, Bengaluru Urban, Karnataka - 560085",PAN_4B6DB3A13FEC9F96,GSTIN_631046870FA1F569,UDYAM_66CABB5444AEE628,9000031813,,2019-06-09,180,25-50
ENT-00005,Sharma Coatings Co,Sharma Coatings Co,Chemical Blending,Manufacturing,2029,Red,Bengaluru Urban,BLRU,560059,Rajajinagar Industrial Suburb,West,Ward-067,"No 7, Plot Service Road, Rajajinagar Industrial Suburb, Bengaluru Urban, Karnataka - 560059",,,UDYAM_A4C262321DAD0941,9000039732,,2021-10-07,3,500+
ENT-00006,Deccan Industries,Deccan Industries,Plastic Moulding,Manufacturing,2220,Red,Mysuru,MYS,570001,Devaraja Mohalla,Central,Ward-M01,"No 151, C 2nd Main, Devaraja Mohalla, Mysuru, Karnataka - 570001",PAN_70C38193FB6728B8,,UDYAM_414CC424A220C311,9000047651,contact0006@examplebiz.in,2021-12-09,120,10-25
ENT-00007,Sree Logistics Pvt Ltd,Sree Logistics,Logistics / Warehouse,Service,5210,Green,Bengaluru Urban,BLRU,560102,HSR Layout,Bommanahalli,Ward-174,"No 105, B 2nd Main, HSR Layout, Bengaluru Urban, Karnataka - 560102",,,UDYAM_5B809DD7D0DA8F64,9000055570,contact0007@examplebiz.in,2015-04-26,25,10-25
ENT-00008,Siddhi Cafe Industries,Siddhi Cafe Industries,Restaurant / Cafe,Service,5610,Green,Bengaluru Urban,BLRU,560100,Electronic City,Bommanahalli,Ward-192,"No 181, A Near Bus Stop, Electronic City, Bengaluru Urban, Karnataka - 560100",PAN_4E65EEA48AF43A2C,,,9000063489,contact0008@examplebiz.in,2025-06-19,12,100-500
ENT-00009,Srinidhi Trans Works,Srinidhi Trans Works,Logistics / Warehouse,Service,5210,Green,Bengaluru Rural,BLRR,562114,Hoskote,Bengaluru Rural,Ward-R04,"No 284, Shed 1st Cross, Hoskote, Bengaluru Rural, Karnataka - 562114",,,UDYAM_E15D24E936858900,9000071408,,2023-11-01,120,500+
ENT-00010,Ganesh Dine LLP,Ganesh Dine,Restaurant / Cafe,Service,5610,Green,Bengaluru Urban,BLRU,560085,Banashankari,South,Ward-182,"No 149, B Main Road, Banashankari, Bengaluru Urban, Karnataka - 560085",PAN_9D3A02B5E38FC0F6,GSTIN_9680680B987EE9AF,UDYAM_25510CB27689351F,9000079327,,2016-07-20,25,500+
