gst_record_id,legal_name,trade_name,principal_place_address,district,pin_code,state_code,taxpayer_type,registration_date,gst_status,pan_hash,gstin_hash,source_record_id,entity_id_ground_truth
GST-KA-BLRU-2015-000001,Vijaya Associates,VIJAYA ASSOCIATES,"91, B 3rd Phase, Bommanahalli, Bengaluru Urban, KA - 560068",Bengaluru Urban,560068,29,SEZ Unit,2015-09-01,Cancelled,PAN_58171EF01BC0381A,GSTIN_09A864EEFB4966DC,GST-KA-BLRU-2015-000001,ENT-00002
GST-KA-BLRR-2024-000002,VEDA DEVICES WORKS,Veda Devices Works,"No 264, B 1st Crs, Doddaballapura, B'luru Rural, K'taka - 561203",Bengaluru Rural,561203,29,Regular,2024-10-18,Suspended,PAN_71DBDD827C3DEB42,,GST-KA-BLRR-2024-000002,ENT-00003
GST-KA-BLRU-2021-000003,Asha Trans LLP,Asha Trans,"No 7, B 1st Crs, Banashankari, Bengaluru Urban, KA - 560085",Bengaluru Urban,560085,29,Composition,2021-05-19,Suspended,PAN_4B6DB3A13FEC9F96,GSTIN_631046870FA1F569,GST-KA-BLRU-2021-000003,ENT-00004
GST-KA-BLRU-2022-000004,Sharma Coatings Co,Sharma Coatings Co,"7, Plot Service Road, Rajajinagar Industrial Suburb, Bengaluru Urban, Karnataka - 560059",Bengaluru Urban,560059,29,Casual Taxable Person,2022-03-14,Active,,,GST-KA-BLRU-2022-000004,ENT-00005
GST-KA-MYS-2024-000005,DeccanInds,Deccan Industries,"151, C 2nd Main, Devaraja Mohalla, Mysuru, KA - 570001",Mysuru,570001,29,Composition,2024-06-27,Suspended,PAN_70C38193FB6728B8,,GST-KA-MYS-2024-000005,ENT-00006
GST-KA-BLRR-2025-000006,M/S Srinidhi Trans Works,,"284, Shed 1st Crs, Hoskote, Bangalore Rural, KA - 562114",Bengaluru Rural,562114,29,Regular,2025-02-23,Active,,,GST-KA-BLRR-2025-000006,ENT-00009
GST-KA-BLRU-2025-000007,Ganesh Dine LLP,,"No. 149, B Main Road, Banashankari, Bengaluru Urban, Karnataka - 560085",Bengaluru Urban,560085,29,Composition,2025-01-10,Active,PAN_9D3A02B5E38FC0F6,GSTIN_9680680B987EE9AF,GST-KA-BLRU-2025-000007,ENT-00010
GST-KA-BLRU-2019-000008,Naveen Fashions Traders,Naveen Fashions Traders,"No 34, B Main Rd, Bannerghatta Road, B'luru Urban, KA - 560076",Bengaluru Urban,560076,29,Composition,2019-08-15,Cancelled,PAN_8C7374FD50D77AA2,GSTIN_4EC2C607A831562B,GST-KA-BLRU-2019-000008,ENT-00011
GST-KA-MYS-2024-000009,MYSORE BITES WORKS,Mysore Bites Works,"No. 4, D 2nd Main, Devaraja Mohalla, Mysuru, Karnataka - 570001",Mysuru,570001,29,Regular,2024-10-19,Active,PAN_7EA7B232D0E1064D,GSTIN_66B07237543C6EDC,GST-KA-MYS-2024-000009,ENT-00013
GST-KA-BLRR-2023-000010,MEGHANA WAREHOUSE TRADERS,Meghana Warehouse Traders,"No 57, D Near Bus Stop, Devanahalli, Bangalore Rural, K'taka - 562110",Bengaluru Rural,562110,29,Casual Taxable Person,2023-04-27,Cancelled,PAN_BB5B3071AA21F9A0,,GST-KA-BLRR-2023-000010,ENT-00015
