consent_no,industry_name,industry_address,district,pin_code,industry_colour,regional_office,inward_type,inward_status,validity_date,last_event_date,pan_hash,gstin_hash,source_record_id,entity_id_ground_truth
PCB/BLRR/CTE/2021/00001,Veda Devices Works,"No 264, B 1st Cross, Doddaballapura, B'luru Rural, Karnataka - 561203",Bengaluru Rural,561203,Orange,Mysuru,Renewal,Rejected,2027-09-24,2022-09-22,,,PCB/BLRR/CTE/2021/00001,ENT-00003
PCB/BLRU/CTO/2017/00002,Sharma Coatings Co,"No. 7, Plot Service Road, Rajajinagar Industrial Suburb, B'luru Urban, Karnataka - 560059",Bengaluru Urban,560059,Red,Tumakuru,CTE,Returned for Clarification,2028-02-13,2025-10-13,,,PCB/BLRU/CTO/2017/00002,ENT-00005
PCB/MYS/CTO/2018/00003,M/S Deccan Industries,"151, C 2nd Main, Devaraja Mohalla, Mysuru, KA - 570001",Mysuru,570001,Red,Bengaluru North,Expansion,Rejected,2024-05-07,2022-04-22,,,PCB/MYS/CTO/2018/00003,ENT-00006
PCB/BLRU/CTO/2020/00004,Siddhi Cafe Industries,"181, A Near Bus Stop, Electronic City, Bangalore Urban, KA",Bengaluru Urban,560100,Green,Bengaluru North,Renewal,Approved,2024-01-03,2025-08-07,PAN_4E65EEA48AF43A2C,,PCB/BLRU/CTO/2020/00004,ENT-00008
PCB/BLRR/CTE/2019/00005,Srinidhi Trans Works,"284, Shed 1st Cr, Hoskote, Bengaluru Rural, Karnataka - 562114",Bengaluru Rural,562114,Green,Mysuru,CTO,Pending,2025-07-16,2022-01-12,,,PCB/BLRR/CTE/2019/00005,ENT-00009
PCB/MYS/CTO/2023/00006,Naveen Systems Pvt Ltd,"No 291, D Sector, Devaraja Mohalla, Mysuru, K'taka - 570001",Mysuru,570001,Orange,Peenya,CTO,Returned for Clarification,2024-09-23,2024-02-21,PAN_BE1A19570FE9AE0F,GSTIN_F4E00424CB03A26C,PCB/MYS/CTO/2023/00006,ENT-00012
PCB/BLRU/CTE/2018/00007,Siddhi Industrial Inds,"243, B Extension, Electronic City, B'luru Urban, Karnataka - 560100",Bengaluru Urban,560100,Red,Bengaluru South,CTO,Pending,2023-12-07,2021-03-05,,,PCB/BLRU/CTE/2018/00007,ENT-00014
PCB/BLRU/CTO/2015/00008,Mysore Mold Solutions,"No 215, A Main Road, Whitefield Main Road, Bangalore Urban, Karnataka",Bengaluru Urban,560066,Red,Mysuru,Expansion,Pending,2027-01-10,2024-11-14,,,PCB/BLRU/CTO/2015/00008,ENT-00018
PCB/BLRR/CTE/2018/00009,Veda Coatings Works,"No. 201, B Service Road, Devanahalli, Bangalore Rural, KA - 562110",Bengaluru Rural,562110,Red,Peenya,CTE,Returned for Clarification,2025-07-14,2026-02-20,,,PCB/BLRR/CTE/2018/00009,ENT-00019
PCB/MYS/CTO/2016/00010,M/S Prakruthi Packaging Solutions,"#45, A Service Road, Hebbal Industrial Estate, Mysuru, Karnataka - 570016",Mysuru,570016,Orange,Tumakuru,CTO,Pending,2026-05-01,2017-10-26,PAN_1DDA954E2B3349CC,,PCB/MYS/CTO/2016/00010,ENT-00021
PCB/MYS/CTE/2021/00011,Ravi Plastics Works,"#65, B Near Bus Stop, Hebbal Industrial Estate, Mysuru, KA - 570016",Mysuru,570016,Red,Peenya,Renewal,Pending,2024-06-27,2024-04-23,,,PCB/MYS/CTE/2021/00011,ENT-00022
PCB/BLRU/CTO/2024/00012,Bangalore Moulding Associates,"266, Shed Sector, Bommanahalli, Bangalore Urban, Karnataka - 560068",Bengaluru Urban,560068,Red,Peenya,CTE,Rejected,2026-10-07,2025-05-25,PAN_8C25986E2674A596,,PCB/BLRU/CTO/2024/00012,ENT-00026
PCB/BLRU/CTE/2018/00013,Mysore Enterprises,"No 256, B Main Rd, HSR Layout, Bengaluru Urban, K'taka - 560102",Bengaluru Urban,560102,Orange,Peenya,Expansion,Rejected,2026-07-03,2022-03-19,,,PCB/BLRU/CTE/2018/00013,ENT-00031
PCB/BLRU/CTO/2020/00014,M/S Kaveri Components Pvt Ltd,"106, Plot Behind Metro, HSR Layout, B'luru Urban, K'taka - 560102",Bengaluru Urban,560102,Orange,Bengaluru South,Renewal,Approved,2027-06-09,2021-01-21,,,PCB/BLRU/CTO/2020/00014,ENT-00035
