labour_registration_no,establishment_name,principal_employer_masked,address,district,pin_code,worker_count,registration_date,last_return_filed_date,status,phone,pan_hash,gstin_hash,source_record_id,entity_id_ground_truth
LAB-KA-BLRU-2025-000001,Sharma Coatings Co,,"7, Plot Service Road, Rajajinagar Industrial Suburb, Bengaluru Urban, K'taka - 560059",Bengaluru Urban,560059,,2025-02-02,2025-05-10,ACTIVE,,,,LAB-KA-BLRU-2025-000001,ENT-00005
LAB-KA-MYS-2016-000002,Deccan Industres,Partner 1,"No. 151, C 2nd Main, Devaraja Mohalla, Mysuru, Karnataka - 570001",Mysuru,570001,,2016-10-09,2017-10-09,CLOSED,9000047651,PAN_70C38193FB6728B8,,LAB-KA-MYS-2016-000002,ENT-00006
LAB-KA-BLRU-2016-000003,Siddhi Cafe Industries,Owner B,"No. 181, A Near Bus Stop, Electronic City, Bangalore Urban, Karnataka - 560100",Bengaluru Urban,560100,12,2016-12-17,2023-12-09,CLOSED,,,,LAB-KA-BLRU-2016-000003,ENT-00008
LAB-KA-BLRU-2020-000004,Naveen Fashions Traders,Director Masked,"34, B Main Road, Bannerghatta Road, Bangalore Urban, K'taka - 560076",Bengaluru Urban,560076,,2020-10-07,2021-04-22,CLOSED,9000087246,PAN_8C7374FD50D77AA2,,LAB-KA-BLRU-2020-000004,ENT-00011
LAB-KA-BLRU-2025-000005,Siddhi Industrial Industries,Partner 1,"#243, B Extension, Electronic City, B'luru Urban, Karnataka - 560100",Bengaluru Urban,560100,2,2025-05-09,2025-07-18,CLOSED,9000111003,,,LAB-KA-BLRU-2025-000005,ENT-00014
LAB-KA-BLRR-2022-000006,M/S Meghana Warehouse Traders,,"No. 57, D Near Bus Stop, Devanahalli, Bangalore Rural, KA - 562110",Bengaluru Rural,562110,8,2022-01-09,2023-10-15,DORMANT,,PAN_BB5B3071AA21F9A0,,LAB-KA-BLRR-2022-000006,ENT-00015
LAB-KA-BLRR-2018-000007,Nandi Trans Solutions,,"No. 162, Sector, Doddaballapura, Bengaluru Rural, K'taka - 561203",Bengaluru Rural,561203,52,2018-07-22,2024-08-29,DORMANT,,PAN_D072F79BB809F27C,,LAB-KA-BLRR-2018-000007,ENT-00016
LAB-KA-BLRR-2019-000008,M/S Mysore Cafe Traders,Owner A,"#202, D Service Road, Devanahalli, Bengaluru Rural, Karnataka - 562110",Bengaluru Rural,562110,3,2019-07-11,2025-10-04,ACTIVE,,,,LAB-KA-BLRR-2019-000008,ENT-00017
LAB-KA-MYS-2015-000009,M/S Praruthi Packaging Solutions,Managing Partner,"No 45, A Service Road, Hebbal Industrial Estate, Mysuru, K'taka - 570016",Mysuru,570016,25,2015-02-19,2017-01-12,CLOSED,,PAN_1DDA954E2B3349CC,,LAB-KA-MYS-2015-000009,ENT-00021
LAB-KA-MYS-2024-000010,Ravi Plastics Works,Partner 1,"65, B Near Bus Stop, Hebbal Industrial Estate, Mysuru, KA - 570016",Mysuru,570016,18,2024-06-04,2024-08-07,DORMANT,,,GSTIN_4CD6D2E925B25B01,LAB-KA-MYS-2024-000010,ENT-00022
LAB-KA-BLRU-2024-000011,Sri Devices Solutions,Owner A,"No. 104, Shed Industrial Layout, HSR Layout, Bengaluru Urban, KA - 560102",Bengaluru Urban,560102,12,2024-06-09,2025-09-07,ACTIVE,,,GSTIN_258B8656D131FB3A,LAB-KA-BLRU-2024-000011,ENT-00023
