shop_license_no,establishment_name,owner_name_masked,address,district,pin_code,registration_date,renewal_due_date,employee_count,status,phone,pan_hash,gstin_hash,source_record_id,entity_id_ground_truth
KAR-SHOP-BLRU-2016-000001,Omkar Works,Director Masked,"#16, C Extension, Whitefield, Bengaluru Urban, K'taka - 560037",Bengaluru Urban,560037,2016-12-23,2017-12-23,,DORMANT,9000008056,,,KAR-SHOP-BLRU-2016-000001,ENT-00001
KAR-SHOP-BLRU-2016-000002,Shama Coatings Co,Partner 1,"No 7, Plot Service Road, Rajajinagar Industrial Suburb, Bangalore Urban, KA - 560059",Bengaluru Urban,560059,2016-11-29,2021-11-28,3,CLOSED,,,,KAR-SHOP-BLRU-2016-000002,ENT-00005
KAR-SHOP-MYS-2024-000003,Deccan Industries,Director Masked,"151, C 2nd Main, Devaraja Mohalla, Mysuru, K'taka - 570001",Mysuru,570001,2024-11-17,2029-11-16,120,ACTIVE,9000047651,,,KAR-SHOP-MYS-2024-000003,ENT-00006
KAR-SHOP-BLRU-2022-000004,Sree Logistics Pvt Ltd,Partner 1,"No 105, B 2nd Main, HSR Layout, Bangalore Urban, KA - 560102",Bengaluru Urban,560102,2022-04-05,2025-04-04,,ACTIVE,9000055570,,,KAR-SHOP-BLRU-2022-000004,ENT-00007
KAR-SHOP-BLRU-2024-000005,Siddhi Cafe Inds,Director Masked,"#181, A Near Bus Stop, Electronic City, Bengaluru Urban, Karnataka - 560100",Bengaluru Urban,560037,2024-01-31,2025-01-30,12,ACTIVE,,,,KAR-SHOP-BLRU-2024-000005,ENT-00008
KAR-SHOP-BLRR-2021-000006,Srinidhi rans Works,Partner 1,"284, Shed 1st Cr, Hoskote, B'luru Rural, KA - 562114",Bengaluru Rural,562114,2021-06-22,2026-06-21,,CLOSED,9000071408,,,KAR-SHOP-BLRR-2021-000006,ENT-00009
KAR-SHOP-BLRU-2022-000007,Ganesh Dine LLP,Managing Partner,"149, B Mn Rd, Banashankari, B'luru Urban, KA - 560085",Bengaluru Urban,560085,2022-04-27,2025-04-26,,ACTIVE,,PAN_9D3A02B5E38FC0F6,,KAR-SHOP-BLRU-2022-000007,ENT-00010
KAR-SHOP-BLRU-2025-000008,Naveen Fashions Traders,Owner B,"34, B Main Rd, Bannerghatta Road, B'luru Urban, Karnataka - 560076",Bengaluru Urban,560076,2025-03-23,2026-03-23,,ACTIVE,9000087246,,,KAR-SHOP-BLRU-2025-000008,ENT-00011
KAR-SHOP-MYS-2015-000009,Mysore Bites Works,Managing Partner,"No. 4, D 2nd Main, Devaraja Mohalla, Mysuru, K'taka - 570001",Mysuru,570001,2015-03-26,2018-03-25,180,CLOSED,9000103084,,,KAR-SHOP-MYS-2015-000009,ENT-00013
KAR-SHOP-BLRU-2017-000010,Siddhi Industrial Industries,,"#243, B Extension, Electronic City, Bengaluru Urban, KA - 560100",Bengaluru Urban,560100,2017-09-03,2022-09-02,2,DORMANT,9000111003,PAN_58C0287F2DFBF4D1,GSTIN_4CBBAC49634564E0,KAR-SHOP-BLRU-2017-000010,ENT-00014
KAR-SHOP-BLRR-2016-000011,Nandi Trans Solutions,Director Masked,"162, Sector, Doddaballapura, Bengaluru Rural, Karnataka - 561203",Bengaluru Rural,561203,2016-12-30,2019-12-30,52,CLOSED,9000126841,,,KAR-SHOP-BLRR-2016-000011,ENT-00016
KAR-SHOP-BLRU-2015-000012,Mysore Mold Solutions,Owner A,"#215, A Main Road, Whitefield Main Road, Bengaluru Urban, K'taka - 560066",Bengaluru Urban,560066,2015-12-20,2020-12-18,180,ACTIVE,,,GSTIN_3EF37A7E82305EDA,KAR-SHOP-BLRU-2015-000012,ENT-00018
