source_record_id,source_system,source_system_name,entity_id_ground_truth,business_name,trade_name,owner_name_masked,address,locality,district,district_code,pin_code,ward,zone,business_type,business_category,nic_code,pollution_category,pan_hash,gstin_hash,udyam_hash,phone,email,registration_date,last_event_date,status,employee_count,turnover_band_lakh,ingested_at,data_quality_notes
KAR-SHOP-BLRU-2016-000001,SHOP,Karnataka Shops and Commercial Establishments,ENT-00001,Omkar Works,,Director Masked,"#16, C Extension, Whitefield, Bengaluru Urban, K'taka - 560037",Whitefield,Bengaluru Urban,BLRU,560037,Ward-085,Mahadevapura,Restaurant / Cafe,Service,5610,Green,,,,9000008056,,2016-12-23,2024-11-10,DORMANT,,,2026-02-24,pan_hash;gstin_hash;email
KFBIS-FAC-BLRU-2025-000001,FACTORY,"Factories, Boilers, Industrial Safety and Health",ENT-00002,Vijaya Associates,M/S Vijaya Assoiates,Owner A,"91, B 3rd Phase, Bommanahalli, Bengaluru Urban, Karnataka",Bommanahalli,Bengaluru Urban,BLRU,560068,Ward-175,South,Plastic Moulding,Manufacturing,2220,Red,,,,9000015975,,2025-05-30,2025-11-05,ACTIVE,25,,2026-02-12,pan_hash;gstin_hash;email
GST-KA-BLRU-2015-000001,GST,GST Taxpayer Registry,ENT-00002,Vijaya Associates,VIJAYA ASSOCIATES,Owner B,"91, B 3rd Phase, Bommanahalli, Bengaluru Urban, KA - 560068",Bommanahalli,Bengaluru Urban,BLRU,560068,Ward-175,South,Plastic Moulding,Manufacturing,2220,Red,PAN_58171EF01BC0381A,GSTIN_09A864EEFB4966DC,,,contact0002@examplebiz.in,2015-09-01,2018-05-23,CLOSED,25,,2026-04-06,phone
UDYAM-KR-BLRU-2017-000001,UDYAM,Udyam / MSME Registry,ENT-00002,M/S Vijaya Associates,M/S Vijaya Associates,Managing Partner,"91, B 3rd Phase, Bommanahalli, Bangalore Urban, KA - 560068",Bommanahalli,Bengaluru Urban,BLRU,560068,Ward-175,South,Plastic Moulding,Manufacturing,2220,Red,PAN_58171EF01BC0381A,,,9000015975,,2017-02-02,2020-01-26,CLOSED,25,,2026-03-29,gstin_hash;email
KFBIS-FAC-BLRR-2020-000002,FACTORY,"Factories, Boilers, Industrial Safety and Health",ENT-00003,Veda Devices Works,Veda Devices Works,Owner A,"264, B 1st Cr, Doddaballapura, Bangalore Rural, K'taka - 561203",Doddaballapura,Bengaluru Rural,BLRR,561203,Ward-R09,Bengaluru Rural,Electronics Assembly,Manufacturing,2610,Orange,,,,,,2020-03-02,2024-11-14,DORMANT,,10-25,2025-12-11,pan_hash;gstin_hash;phone;email
GST-KA-BLRR-2024-000002,GST,GST Taxpayer Registry,ENT-00003,VEDA DEVICES WORKS,Veda Devices Works,Director Masked,"No 264, B 1st Crs, Doddaballapura, B'luru Rural, K'taka - 561203",Doddaballapura,Bengaluru Rural,BLRR,561203,Ward-R09,Bengaluru Rural,Electronics Assembly,Manufacturing,2610,Orange,PAN_71DBDD827C3DEB42,,,9000023894,,2024-10-18,2025-02-17,DORMANT,,10-25,2026-02-18,gstin_hash;email
PCB/BLRR/CTE/2021/00001,KSPCB,Karnataka State Pollution Control Board,ENT-00003,Veda Devices Works,,Managing Partner,"No 264, B 1st Cross, Doddaballapura, B'luru Rural, Karnataka - 561203",Doddaballapura,Bengaluru Rural,BLRR,561203,Ward-R09,Bengaluru Rural,Electronics Assembly,Manufacturing,2610,Orange,,,,9000023894,,2021-05-28,2022-09-22,CLOSED,8,10-25,2025-12-28,pan_hash;gstin_hash;email
GST-KA-BLRU-2021-000003,GST,GST Taxpayer Registry,ENT-00004,Asha Trans LLP,Asha Trans,Owner B,"No 7, B 1st Crs, Banashankari, Bengaluru Urban, KA - 560085",Banashankari,Bengaluru Urban,BLRU,560085,Ward-182,South,Logistics / Warehouse,Service,5210,Green,PAN_4B6DB3A13FEC9F96,GSTIN_631046870FA1F569,,,,2021-05-19,2021-11-19,CLOSED,180,25-50,2026-03-10,phone;email
GST-KA-BLRU-2022-000004,GST,GST Taxpayer Registry,ENT-00005,Sharma Coatings Co,Sharma Coatings Co,Managing Partner,"7, Plot Service Road, Rajajinagar Industrial Suburb, Bengaluru Urban, Karnataka - 560059",Rajajinagar Industrial Suburb,Bengaluru Urban,BLRU,560059,Ward-067,West,Chemical Blending,Manufacturing,2029,Red,,,,9000039732,,2022-03-14,2025-07-09,ACTIVE,3,,2026-04-23,pan_hash;gstin_hash;email
PCB/BLRU/CTO/2017/00002,KSPCB,Karnataka State Pollution Control Board,ENT-00005,Sharma Coatings Co,M/S Sharma Coatings Co,Owner B,"No. 7, Plot Service Road, Rajajinagar Industrial Suburb, B'luru Urban, Karnataka - 560059",Rajajinagar Industrial Suburb,Bengaluru Urban,BLRU,560059,Ward-067,West,Chemical Blending,Manufacturing,2029,Red,,,,,,2017-01-30,2025-10-13,CLOSED,3,500+,2026-02-28,pan_hash;gstin_hash;phone;email
LAB-KA-BLRU-2025-000001,LABOUR,Labour Department,ENT-00005,Sharma Coatings Co,Sharma Coatings Co,,"7, Plot Service Road, Rajajinagar Industrial Suburb, Bengaluru Urban, K'taka - 560059",Rajajinagar Industrial Suburb,Bengaluru Urban,BLRU,560059,Ward-067,West,Chemical Blending,Manufacturing,2029,Red,,,,,,2025-02-02,2025-05-10,ACTIVE,,,2026-02-03,pan_hash;gstin_hash;phone;email
KAR-SHOP-BLRU-2016-000002,SHOP,Karnataka Shops and Commercial Establishments,ENT-00005,Shama Coatings Co,M/S Sharma Coatings Co,Partner 1,"No 7, Plot Service Road, Rajajinagar Industrial Suburb, Bangalore Urban, KA - 560059",Rajajinagar Industrial Suburb,Bengaluru Urban,BLRU,560059,Ward-067,West,Chemical Blending,Manufacturing,2029,Red,,,,,,2016-11-29,2017-10-30,CLOSED,3,,2026-04-24,pan_hash;gstin_hash;phone;email
UDYAM-KR-BLRU-2024-000002,UDYAM,Udyam / MSME Registry,ENT-00005,Sharma Coatings Co,Sharma CoatingsCo,,"No 7, Plot Service Road, Rajajinagar Industrial Suburb, B'luru Urban, KA - 560059",Rajajinagar Industrial Suburb,Bengaluru Urban,BLRU,560059,Ward-067,West,Chemical Blending,Manufacturing,2029,Red,,,UDYAM_A4C262321DAD0941,9000039732,,2024-09-21,2026-01-15,ACTIVE,3,,2026-04-21,pan_hash;gstin_hash;email
KFBIS-FAC-MYS-2018-000003,FACTORY,"Factories, Boilers, Industrial Safety and Health",ENT-00006,Deccan Industries,Deccan Industries,Owner B,"#151, C 2nd Main, Devaraja Mohalla, Mysuru, Karnataka - 570001",Devaraja Mohalla,Mysuru,MYS,570001,Ward-M01,Central,Plastic Moulding,Manufacturing,2220,Red,,,,9000047651,,2018-04-08,2025-08-16,ACTIVE,120,,2026-01-06,pan_hash;gstin_hash;email
