udyam_record_id,enterprise_name,organisation_type,activity_type,nic_code,district,pin_code,employment_count,registration_date,status,pan_hash,udyam_hash,source_record_id,entity_id_ground_truth
UDYAM-KR-BLRU-2017-000001,M/S Vijaya Associates,Proprietorship,Manufacturing,2220,Bengaluru Urban,560068,25,2017-02-02,CLOSED,PAN_58171EF01BC0381A,,UDYAM-KR-BLRU-2017-000001,ENT-00002
UDYAM-KR-BLRU-2024-000002,Sharma Coatings Co,Proprietorship,Manufacturing,2029,Bengaluru Urban,560059,3,2024-09-21,ACTIVE,,UDYAM_A4C262321DAD0941,UDYAM-KR-BLRU-2024-000002,ENT-00005
UDYAM-KR-MYS-2023-000003,Deccan Industries,Proprietorship,Manufacturing,2220,Mysuru,570001,,2023-11-04,DORMANT,PAN_70C38193FB6728B8,UDYAM_414CC424A220C311,UDYAM-KR-MYS-2023-000003,ENT-00006
UDYAM-KR-BLRU-2018-000004,Siddhi Cafe Inds,Proprietorship,Service,5610,Bengaluru Urban,560100,12,2018-02-14,CLOSED,PAN_4E65EEA48AF43A2C,,UDYAM-KR-BLRU-2018-000004,ENT-00008
UDYAM-KR-BLRU-2015-000005,Ganesh Dine LLP,Proprietorship,Service,5610,Bengaluru Urban,560085,25,2015-08-30,CLOSED,PAN_9D3A02B5E38FC0F6,UDYAM_25510CB27689351F,UDYAM-KR-BLRU-2015-000005,ENT-00010
UDYAM-KR-BLRU-2016-000006,NAVEEN FASHIONS TRADERS,Partnership,Manufacturing,1410,Bengaluru Urban,560076,,2016-01-17,CLOSED,PAN_8C7374FD50D77AA2,UDYAM_89BECB8C05549B04,UDYAM-KR-BLRU-2016-000006,ENT-00011
UDYAM-KR-MYS-2020-000007,Naveen Systems Pvt. Ltd.,LLP,Manufacturing,2610,Mysuru,570001,,2020-05-11,DORMANT,PAN_BE1A19570FE9AE0F,,UDYAM-KR-MYS-2020-000007,ENT-00012
UDYAM-KR-BLRU-2016-000008,Siddhi Industrial Industries,Private Limited,Manufacturing,2029,Bengaluru Urban,560100,2,2016-04-13,CLOSED,PAN_58C0287F2DFBF4D1,UDYAM_98AA4B4C505E9FA1,UDYAM-KR-BLRU-2016-000008,ENT-00014
UDYAM-KR-BLRR-2023-000009,MEGHANA WAREHOUSE TRADERS,Private Limited,Service,5210,Bengaluru Rural,562110,8,2023-01-02,DORMANT,PAN_BB5B3071AA21F9A0,UDYAM_3B4A84F61A4AA029,UDYAM-KR-BLRR-2023-000009,ENT-00015
UDYAM-KR-BLRU-2018-000010,MYSORE MOLD SOLUTIONS,Partnership,Manufacturing,2220,Bengaluru Urban,560066,180,2018-04-13,CLOSED,PAN_9B87F77784FF0445,UDYAM_23B1E80E5A874B4C,UDYAM-KR-BLRU-2018-000010,ENT-00018
