reg_id,business_name,address,pincode,pan,gstin,phone,status
SH001,M/S Ravi Foods,"No 12, Peenya Ind Area, Blr",560058,AABCR1234F,29AABCR1234F1Z5,9876543210,active
SH002,Ravi Foods Pvt Ltd,12 Peenya Industrial Area Bengaluru,560058,AABCR1234F,29AABCR1234F1Z5,08041234567,active
SH003,Ravi Food Processing,"Plot 12, Peenya Ind. Area, Bangalore",560058,AABCR1234F,,9876543210,active
SH004,Lakshmi Silk House,"MG Road, Mysuru",570001,AAAFL9999K,29AAAFL9999K1Z1,8212345678,active
SH005,Lakshmi Silks,M G Road Mysore,570001,,29AAAFL9999K1Z1,8212345600,active
SH006,Kaveri Agro Traders,"Hubli Market Rd, Hubballi",580020,AAAFK1111L,29AAAFK1111L1Z2,8360123456,active
SH007,Kaveri Agro & Traders,Hubli Market Road Hubli,580020,AAAFK1111L,,8360123499,active
SH008,Sri Venkateswara Bakery,"Tumkur Rd, Nelamangala",562123,AAABV2222M,29AAABV2222M1Z3,9448012345,active
SH009,S V Bakery,Tumkur Road Nelamangala,562123,,29AAABV2222M1Z3,9448012300,dormant
SH010,Global Tech Solutions,"Manyata Tech Park, Nagavara",560045,AAAGT3333N,29AAAGT3333N1Z4,9900112233,active
SH011,Global Tech Solns Pvt Ltd,Manyata TP Nagavara Blr,560045,AAAGT3333N,29AAAGT3333N1Z4,9900112200,active
SH012,Coastal Fisheries,Mangalore Port Rd,575001,AAACF4444P,29AAACF4444P1Z6,8242223344,active
SH013,Coastal Fishries,Mangalore Port Road,575001,,29AAACF4444P1Z6,8242223300,active
SH014,Nandi Granite Works,Chikkaballapur,562101,AAANG5555Q,29AAANG5555Q1Z7,8150020020,active
SH015,Nandi Granite,Chikkaballapur KA,562101,AAANG5555Q,,8150020099,active
SH016,GreenLeaf Organics,"Hennur Rd, Bengaluru",560043,AAAGL6666R,29AAAGL6666R1Z8,9988776655,active
SH017,Green Leaf Organics LLP,Hennur Road Bangalore,560043,,29AAAGL6666R1Z8,9988776600,active
SH018,Prakash Motors,"Ring Road, Vijayanagar",560040,AAAPM7777S,29AAAPM7777S1Z9,9845011122,active
SH019,Prakash Motors & Sons,Ring Rd Vijayanagar Blr,560040,AAAPM7777S,29AAAPM7777S1Z9,9845011199,active
SH020,Udupi Krishna Bhavan,"Car St, Udupi",576101,AAAKU8888T,29AAAKU8888T1ZA,8202501234,active
SH021,Udupi Krishna Bhavan Hotel,Car Street Udupi,576101,AAAKU8888T,29AAAKU8888T1ZA,8202501200,active
SH022,Himalaya Hardware,Shivaji Nagar,560001,AAAHM9999U,29AAAHM9999U1ZB,9886012345,active
SH023,Himalaya Hardvare,Shivajinagar Bengaluru,560001,AAAHM9999U,,9886012399,active
SH024,Sahyadri Coffee Works,Chikmagalur,577101,AAASC0001V,29AAASC0001V1ZC,8262223344,active
